Division,Bout_Type,Outcome,Outcome_Detailed,Year,Total_Strikes_Win_PerMin,Landed_Win_PerMin,Significant_Win_PerMin,Punch_Win_PerMin,Kick_Win_PerMin,Knee_Win_PerMin,Elbow_Win_PerMin,Head_Win_PerMin,Body_Win_PerMin,Legs_Win_PerMin,Standing_Win_PerMin,Clinch_Win_PerMin,Ground_Win_PerMin,Total_TD_Actions_Win_PerMin,TD_Landed_Win_PerMin,Sub_Att_Win_PerMin,Total_Strikes_Lose_PerMin,Landed_Lose_PerMin,Significant_Lose_PerMin,Punch_Lose_PerMin,Kick_Lose_PerMin,Knee_Lose_PerMin,Elbow_Lose_PerMin,Head_Lose_PerMin,Body_Lose_PerMin,Legs_Lose_PerMin,Standing_Lose_PerMin,Clinch_Lose_PerMin,Ground_Lose_PerMin,Total_TD_Actions_Lose_PerMin,TD_Landed_Lose_PerMin,Sub_Att_Lose_PerMin
Heavyweight,Non_Title,Finish,KO/TKO,2020,10.66,7.05,6.07,4.26,1.31,0.49,0,4.59,0.49,0.98,4.59,1.48,0,1.15,0,0,5.41,3.93,2.46,1.97,0.49,0,0,1.64,0.49,0.33,2.46,0,0,0,0,0
Heavyweight,Non_Title,Finish,KO/TKO,2020,15.5,15.25,10.63,9.75,0.5,0.38,0,10,0.38,0.25,1,0.13,9.5,0.13,0.13,0,6.5,5,3.5,3.13,0.25,0.13,0,2.88,0.63,0,0.88,0.13,2.5,0,0,0
Heavyweight,Non_Title,Decision,Decision,2020,6.68,6.16,3.68,2.16,0.24,1.04,0.24,2.16,0.32,1.2,1.24,0.16,2.28,0.92,0.6,0,6.88,5.8,2.04,1.04,0.28,0.16,0.56,1.6,0.32,0.12,1.36,0.08,0.6,0.04,0.04,0.04
Heavyweight,Non_Title,Finish,KO/TKO,2020,8.6,8.41,7.66,7.29,0.19,0.19,0,7.48,0.19,0,1.12,0,6.54,0.19,0.19,0,1.12,0.56,0.56,0.37,0,0,0.19,0.37,0.19,0,0.37,0,0.19,0.19,0.19,0.75
Heavyweight,Title,Decision,Decision,2020,9.72,7.72,5.6,4.12,0.92,0.48,0.08,3.16,1.64,0.8,4.8,0.76,0.04,0.08,0,0,8.68,7,5.4,3.92,1.28,0.08,0.12,3.48,1.04,0.88,4.84,0.6,0,0.04,0.04,0
Heavyweight,Non_Title,Finish,KO/TKO,2020,7.1,6.51,4.75,2.3,0.83,0.73,0.88,2.74,1.57,0.44,1.27,0.88,2.59,0.15,0.15,0,9.79,8.42,5.43,3.38,0.73,1.03,0.34,4.06,0.78,0.59,4.26,0.98,0.2,0,0,0
Heavyweight,Non_Title,Finish,KO/TKO,2021,12.11,11.13,7.75,6.62,0.99,0.14,0,6.76,0.42,0.56,7.04,0,0.7,0,0,0,2.96,2.39,1.69,0.99,0.7,0,0,0.99,0.28,0.42,1.69,0,0,0.28,0,0
Heavyweight,Non_Title,Finish,KO/TKO,2021,4.04,2.95,1.56,1.4,0.16,0,0,1.09,0.47,0,1.24,0,0.31,0,0,0,8.86,6.07,4.51,2.95,1.24,0.16,0.16,2.95,0.31,1.24,4.51,0,0,0.16,0,0
Heavyweight,Non_Title,Decision,Decision,2021,8,7,4.76,1.96,2.16,0.6,0.04,1.64,1.12,2,4.2,0.52,0.04,0.4,0.12,0.04,4.56,3.24,1.68,0.44,0.84,0.2,0.2,0.56,0.2,0.92,1.24,0.44,0,0,0,0
Heavyweight,Title,Finish,KO/TKO,2021,8.69,6.3,5.62,4.6,1.02,0,0,4.43,0.34,0.85,3.07,1.02,1.53,0.34,0.17,0,2.04,1.53,1.19,0.34,0.85,0,0,0.34,0,0.85,1.19,0,0,0.17,0,0
Heavyweight,Non_Title,Finish,KO/TKO,2021,6.63,5.62,3.61,2.61,1,0,0,1.81,0.8,1,3.21,0,0.4,0,0,0,2.21,1.61,1.2,0,1.2,0,0,0,0.6,0.6,1.2,0,0,0,0,0
Heavyweight,Non_Title,Decision,Decision,2021,10.52,9.16,6.4,3.84,2.28,0.28,0,3.28,1.56,1.56,6.36,0.04,0,0.08,0,0,10.16,8.4,5,2.24,2.72,0.04,0,1.92,1.16,1.92,4.96,0.04,0,0,0,0
Heavyweight,Title,Finish,KO/TKO,2021,9.38,7.62,7.26,3.67,2.4,0.99,0.21,3.81,1.13,2.33,4.72,1.41,1.13,0,0,0,2.19,0.78,0.78,0.35,0.42,0,0,0.21,0.42,0.14,0.71,0.07,0,0.14,0,0
Heavyweight,Non_Title,Finish,KO/TKO,2021,7.5,5.83,4.44,3.61,0.56,0.28,0,3.89,0.28,0.28,4.17,0.28,0,0.28,0,0,4.72,3.33,2.22,0.83,0.83,0,0.56,1.39,0,0.83,1.94,0.28,0,0,0,0
Heavyweight,Title,Decision,Decision,2022,5.64,4.12,2.72,1.8,0.64,0.24,0.04,1.16,1.08,0.48,1.8,0.28,0.64,0.32,0.2,0.12,4.32,3.72,2.8,0.84,1.64,0.2,0.12,0.96,0.84,1.04,2.56,0.24,0,0.12,0.04,0.16
Heavyweight,Non_Title,Finish,Submission,2022,13.6,13.07,9.6,3.47,2.67,0.27,3.2,6.4,1.33,1.87,4.53,0,5.07,0.53,0.53,0.53,6.4,4.53,2.67,1.87,0.8,0,0,1.6,0.8,0.27,2.67,0,0,0,0,0
Heavyweight,Non_Title,Finish,KO/TKO,2022,7.69,5.08,3.3,2.61,0.69,0,0,2.61,0,0.69,2.47,0,0.82,0,0,0,5.36,3.3,1.51,1.51,0,0,0,1.24,0.27,0,1.51,0,0,0,0,0
Heavyweight,Non_Title,Finish,KO/TKO,2022,11.68,9.67,8.76,5.15,3.41,0.21,0,5.01,2.64,1.11,8.62,0,0.14,0.07,0,0,5.7,3.34,2.64,1.81,0.83,0,0,1.32,0.7,0.63,2.5,0.07,0.07,0,0,0
